"","Tiktok","Tetris","Reality","Podcast","Musica","Maximal","Leer","Documental","Basal"
"T/A_s1",1.17588713496751,1.03844397752389,1.13132725411451,1.08170245818159,1.05575154151617,1.06697283765351,1.15660928272415,1.08018379939739,1.08018379939739
"A/T_s1",0.850421754148733,0.962979247454871,0.88391753700188,0.924468639630404,0.947192554948957,0.937230981623864,0.864596208016513,0.925768374380243,0.925768374380243
"T/A_s2",1.14720829508612,1.0592045169544,1.10074744984772,1.06543295165119,1.14447391846521,1.08363293150135,1.13392058118247,1.05676777473558,1.01750636061738
"A/T_s2",0.871681284282324,0.944104735198228,0.908473601404523,0.938585575422852,0.873763904852498,0.922821714742948,0.881895978073869,0.946281693960826,0.982794839133238
"T/A_s3",1.21948984587342,1.11339344793595,1.23039565873065,1.17600538918859,1.11000141388449,1.17042897784622,1.23075475611631,1.11000141388449,1.24358311713683
"A/T_s3",0.820015027910119,0.898155096793354,0.812746690793478,0.850336239266704,0.900899753361993,0.854387595426902,0.812509555644976,0.900899753361993,0.804127996126509
"T/A_s5",1.11939296017718,1.04119012798009,1.0360552595137,1.10241255563177,1.09789634629773,0.984662076146394,1.02456002039796,1.16031086227594,1.00558920883677
"A/T_s5",0.893341333718693,0.960439379059424,0.965199482187247,0.907101424862598,0.910832797077932,1.01557684024314,0.976028714854189,0.861838006099943,0.994441856786399
"T/A_s6",1.09420504514271,1.10910976665908,1.0670511827264,1.11476085231525,1.01389834176501,1.01734061791826,1.05446378014931,1.0670511827264,1.01289705564571
"A/T_s6",0.913905491881163,0.901624014196764,0.937162168214765,0.897053388556922,0.98629217428168,0.982954953716738,0.948349311588875,0.937162168214765,0.987267160493924
"T/A_s7",1.10727990502027,1.08329914636293,1.09991942204152,1.12095426625663,1.07423544456221,1.1137252340021,1.17189646957761,1.09743897342696,1.05678609734246
"A/T_s7",0.903114014321151,0.923106053722465,0.909157507323527,0.892097055252266,0.930894623764285,0.897887530487717,0.853317699950437,0.911212399243769,0.946265287284471
"T/A_s8",1.10444515833313,1.09593993937138,1.08915554922066,1.0891032866673,1.07886666859539,1.08068881895223,1.07947695961163,1.12778326525046,1.08939978393567
"A/T_s8",0.905432010322029,0.912458761721548,0.918142501055564,0.918186559752323,0.926898595636407,0.925335751108757,0.926374566030364,0.886695192961495,0.917936660853105
"T/A_s9",1.09583346719142,1.05491343731071,1.08545468016259,1.12288721338608,1.04428042601241,1.11957303356069,1.05427597293938,1.05851394416827,1.02143551210349
"A/T_s9",0.912547417047737,0.947945077417247,0.921272917493163,0.890561392167327,0.957597188543029,0.893197647695751,0.948518249175257,0.944720667601367,0.979014326553673
